# From my guild's alt raid night
# Columns: seconds-since-previous-event <TAB> raw event line (sans timestamp).
0.0	MAP_CHANGE,2393,"Silvermoon City",9772.916016,7902.083008,-3335.416016,-6141.666016
1634.008	MAP_CHANGE,2529,"The Voidspire",5227.080078,3729.169922,1875.000000,-370.834015
33.798	ENCOUNTER_START,3177,"Vorasius",14,10,2912
221.04	ENCOUNTER_END,3177,"Vorasius",14,10,1,221030
494.41	ENCOUNTER_START,3179,"Fallen-King Salhadaar",14,11,2912
233.069	ENCOUNTER_END,3179,"Fallen-King Salhadaar",14,11,1,233080
369.322	ENCOUNTER_START,3178,"Vaelgor & Ezzorak",14,11,2912
354.132	ENCOUNTER_END,3178,"Vaelgor & Ezzorak",14,11,1,354125
269.949	ENCOUNTER_START,3180,"Lightblinded Vanguard",14,11,2912
272.9	ENCOUNTER_END,3180,"Lightblinded Vanguard",14,11,1,272923
248.384	ENCOUNTER_START,3181,"Crown of the Cosmos",14,11,2912
400.953	ENCOUNTER_END,3181,"Crown of the Cosmos",14,11,1,400945
645.967	MAP_CHANGE,2537,"Quel'Thalas",12479.200195,2189.580078,-441.665985,-15875.000000
776.957	MAP_CHANGE,2532,"The Dreamrift",-1300.000000,-1500.000000,-1037.500000,-1337.500000
285.304	MAP_CHANGE,2531,"The Dreamrift",-491.666016,-1547.916016,-389.583984,-1972.916016
30.602	MAP_CHANGE,2531,"The Dreamrift",-491.666016,-1547.916016,-389.583984,-1972.916016
7.907	MAP_CHANGE,2532,"The Dreamrift",-1300.000000,-1500.000000,-1037.500000,-1337.500000
598.424	ENCOUNTER_START,3306,"Chimaerus the Undreamt God",15,30,2939
58.09	ENCOUNTER_END,3306,"Chimaerus the Undreamt God",15,30,0,58098
7.39	MAP_CHANGE,2531,"The Dreamrift",-491.666016,-1547.916016,-389.583984,-1972.916016
16.008	MAP_CHANGE,2532,"The Dreamrift",-1300.000000,-1500.000000,-1037.500000,-1337.500000
265.851	ENCOUNTER_START,3306,"Chimaerus the Undreamt God",15,30,2939
445.589	ENCOUNTER_END,3306,"Chimaerus the Undreamt God",15,30,0,445620
7.108	MAP_CHANGE,2531,"The Dreamrift",-491.666016,-1547.916016,-389.583984,-1972.916016
13.224	MAP_CHANGE,2532,"The Dreamrift",-1300.000000,-1500.000000,-1037.500000,-1337.500000
297.434	ENCOUNTER_START,3306,"Chimaerus the Undreamt God",15,30,2939
502.413	ENCOUNTER_END,3306,"Chimaerus the Undreamt God",15,30,1,502315
92.396	MAP_CHANGE,2537,"Quel'Thalas",12479.200195,2189.580078,-441.665985,-15875.000000
4.574	MAP_CHANGE,2393,"Silvermoon City",9772.916016,7902.083008,-3335.416016,-6141.666016
156.466	MAP_CHANGE,2405,"Voidstorm",5656.250000,-1125.000000,4804.166016,-5368.750000
